price;lotSize;age;landValue;livingArea;pctCollege;bedrooms;fireplaces;bathrooms;rooms;heating;fuel;sewer;waterfront;newConstruction;centralAir;built date;property code;mtrsmyroom;category
187500;0.92;11;20600;2300;51;3;1;1.5;7;electric;electric;septic;No;No;No;13/08/2009;UC010137409AWS8647;3271,428571;Mx
107000;0.46;25;18700;1712;51;3;1;1;6;hot air;gas;septic;No;No;No;17/08/1995;UC0101138919AWS70985;3402;Mx
126900;0.46;26;18700;1350;51;3;;1.5;5;hot air;gas;septic;No;No;No;17/08/1994;UC0101782660AWS69827;4010;Mx
147000;0.11;15;18900;1676;51;3;1;2.5;6;hot air;gas;septic;No;No;No;14/08/2005;UC0101463534AWS8773;3429,333333;Mx
62000;0.4;103;10500;1317;51;3;;1.5;7;hot water/steam;gas;septic;No;No;No;5/09/1917;UC0101718784AWS98406;1688,142857;S
101000;0.87;30;8700;1056;51;3;1;2;8;hot air;gas;septic;No;No;No;18/08/1990;UC010138177AWS72521;1219,5;S
143500;0.59;13;19900;912;51;3;;1;7;hot air;gas;septic;No;No;No;14/08/2007;UC010186389AWS25499;2973,142857;S
113400;0.93;18;4500;1232;44;2;;2;3;electric;electric;septic;No;No;No;15/08/2002;UC0101234285AWS23086;1910,666667;S
76320;0.15;68;2000;1380;44;3;1;1;5;hot air;gas;public/commercial;No;No;No;27/08/1952;UC0101638090AWS26237;676;S
110000;0.59;10;3100;936;44;3;;1;6;hot air;gas;septic;No;No;Yes;13/08/2010;UC0101604715AWS27336;672,6666667;S
88000;0.33;49;3400;720;44;3;;1;4;hot air;gas;septic;No;No;No;23/08/1971;UC0101689141AWS44154;1030;S
108000;0.32;30;6500;1628;44;2;1;1.5;4;hot water/steam;oil;;No;No;No;18/08/1990;UC0101455670AWS19192;2032;S
114900;0.46;41;5000;1144;44;3;;1.5;6;hot air;gas;septic;No;No;No;21/08/1979;UC0101646504AWS14165;1024;S
146000;0.48;2;3000;1827;44;3;;2.5;9;hot air;gas;septic;No;No;No;11/08/2018;UC0101300998AWS4283;536,3333333;S
225000;2.37;8;3300;1784;44;3;1;2;6;hot water/steam;oil;septic;No;No;No;12/08/2012;UC0101734790AWS27798;847,3333333;S
138000;0.83;16;3700;1851;44;3;1;2.5;8;hot air;gas;septic;No;No;Yes;14/08/2004;UC0101873819AWS15107;693,875;S
218070;1;0;3500;2194;44;4;;2.5;8;hot water/steam;gas;septic;No;Yes;No;10/08/2020;UC0101634801AWS32345;711,75;S
25000;0.21;75;900;920;44;2;;1;6;hot air;oil;septic;No;No;No;29/08/1945;UC0101737332AWS33213;303,3333333;S
112000;0.27;36;3800;1280;44;3;;1;5;hot water/steam;gas;public/commercial;No;No;No;19/08/1984;UC0101990408AWS56362;1016;S
112500;0.72;43;4600;1232;44;3;1;1;5;electric;electric;septic;No;No;No;21/08/1977;UC0101829276AWS85260;1166,4;S
97000;0.36;45;3600;1406;44;3;;1.5;6;hot water/steam;gas;;No;No;No;22/08/1975;UC0101576209AWS88038;834,3333333;S
121000;0.52;6;2500;1164;44;3;;2;5;hot air;gas;septic;No;No;No;12/08/2014;UC0101391094AWS38306;732,8;S
65720;0.19;123;2100;1198;44;3;;1;5;hot water/steam;gas;public/commercial;No;No;No;###############################################################################################################################################################################################################################################################;UC0101933253AWS46069;659,6;S
225000;0.38;10;6600;2206;44;4;1;2.5;8;hot air;gas;septic;No;No;Yes;13/08/2010;UC0101428801AWS46876;1100,75;S
192000;0.82;0;5000;1880;44;3;1;2.5;9;hot air;gas;septic;No;Yes;Yes;10/08/2020;UC0101863172AWS45549;764,4444444;S
158500;0.69;6;3400;1368;44;3;;1.5;8;hot air;oil;septic;No;No;No;12/08/2014;UC0101284506AWS79150;596;S
247000;0.51;16;6000;1901;44;3;1;2.5;5;hot air;gas;;No;No;Yes;14/08/2004;UC0101849391AWS94399;1580,2;S
193777;0.72;11;3200;1547;44;3;;2;8;hot air;gas;septic;No;No;No;13/08/2009;UC0101985396AWS40533;593,375;S
136500;0.62;12;5400;896;44;3;;2;5;hot air;gas;septic;No;No;No;13/08/2008;UC0101778465AWS97408;1259,2;S
75000;1;45;8000;1008;44;3;;1;7;hot air;gas;septic;No;No;No;22/08/1975;UC0101833306AWS52974;1286,857143;S
45000;0.52;75;3900;912;44;2;;1;4;hot air;gas;septic;No;No;No;29/08/1945;UC0101534209AWS84496;1203;S
243000;0.82;12;3700;2443;44;3;;2.5;6;hot air;gas;septic;No;No;No;13/08/2008;UC0101151779AWS93379;1023,833333;S
90000;0.29;83;3900;900;44;4;;1;7;hot air;gas;public/commercial;No;No;No;31/08/1937;UC0101851281AWS81562;685,7142857;S
158000;0.52;0;4400;2098;44;3;;2;7;hot air;gas;septic;No;Yes;Yes;10/08/2020;UC010192188AWS51169;928,2857143;S
174000;0.64;9;3000;2115;44;4;1;2.5;7;hot water/steam;gas;septic;No;No;No;13/08/2011;UC0101733936AWS75250;730,7142857;S
150000;0.52;12;4500;1344;44;2;1;2;7;hot air;gas;septic;No;No;No;13/08/2008;UC0101348488AWS87536;834,8571429;S
159650;1;3;5200;1106;44;3;;1;8;hot air;gas;septic;No;No;No;11/08/2017;UC0101739203AWS86368;788,25;S
139062;0.69;33;6500;1440;44;3;2;2;6;hot water/steam;gas;septic;No;No;No;19/08/1987;UC0101636125AWS10082;1323,333333;S
84950;0.13;0;15000;840;51;2;;1;3;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC0101199942AWS57518;5280;Mx
102000;0.22;10;7300;1170;51;2;;1;6;hot air;gas;public/commercial;No;No;No;13/08/2010;UC0101642360AWS64578;1411,666667;S
175000;0.46;15;23400;1664;51;4;;1;5;hot air;oil;septic;No;No;No;14/08/2005;UC0101549160AWS71281;5012,8;Mx
78500;1;153;27300;3024;51;4;;1;12;hot air;oil;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101649806AWS75885;2527;S
232478;1;0;15900;2598;51;4;1;2.5;9;hot air;gas;none;No;No;No;10/08/2020;UC0101207518AWS82773;2055,333333;S
93805;0.13;0;15000;840;51;2;;1.5;7;hot air;gas;public/commercial;No;Yes;No;10/08/2020;UC0101266852AWS59962;2262,857143;S
119900;1.03;63;41500;1701;41;5;;1;10;hot water/steam;oil;septic;No;No;No;26/08/1957;UC0101176373AWS72979;4320,1;Mx
146000;1.17;33;41800;1456;41;3;1;1.5;6;hot air;oil;septic;No;No;No;19/08/1987;UC0101656161AWS34362;7209,333333;M
125000;0.34;44;19000;1224;71;3;;1;4;hot air;oil;septic;No;No;No;21/08/1976;UC0101878129AWS79805;5056;Mx
135000;0.38;48;21300;1411;71;3;1;1;5;hot air;gas;septic;No;No;No;22/08/1972;UC0101140253AWS98446;4542,2;Mx
157500;1.96;29;39700;1608;71;3;1;1.5;5;hot air;oil;septic;No;No;No;18/08/1991;UC0101157878AWS47761;8261,6;M
135000;3;178;44500;3020;41;4;;2.5;12;hot water/steam;oil;septic;No;No;No;###############################################################################################################################################################################################################################################################;UC0101231183AWS10489;3960;Mx
142900;0.33;32;22500;1898;64;3;1;1.5;7;hot water/steam;gas;public/commercial;No;No;No;18/08/1988;UC0101632326AWS15489;3485,428571;Mx
259900;0.46;1;36600;2544;64;4;1;2.5;9;hot air;gas;public/commercial;No;Yes;Yes;11/08/2019;UC0101238406AWS28405;4349,333333;Mx
85000;0.29;16;22100;1038;64;2;;1;7;electric;electric;public/commercial;No;No;No;14/08/2004;UC0101858238AWS68609;3305,428571;Mx
180377;0.35;1;37000;1820;64;3;1;2.5;6;hot air;gas;public/commercial;No;Yes;No;11/08/2019;UC0101485423AWS79199;6470;M
163500;0.28;21;28400;2202;64;3;1;2;10;electric;electric;public/commercial;No;No;Yes;16/08/1999;UC0101655052AWS61034;3060,2;Mx
106500;0.52;53;20300;2387;64;3;;1;6;hot air;oil;septic;No;No;No;24/08/1967;UC0101810320AWS54975;3781,166667;Mx
115000;0.11;16;20700;1368;64;2;1;1.5;3;electric;electric;public/commercial;No;No;Yes;14/08/2004;UC0101801695AWS43204;7356;M
115000;0.14;16;21000;1480;64;2;1;2;5;electric;electric;public/commercial;No;No;Yes;14/08/2004;UC0101437361AWS10852;4496;Mx
135000;0.14;15;19600;1348;64;2;1;1.5;5;electric;electric;public/commercial;No;No;Yes;14/08/2005;UC0101493127AWS20187;4189,6;Mx
198900;0.47;7;25500;1889;64;4;1;2.5;8;hot air;gas;public/commercial;No;No;Yes;12/08/2013;UC0101775261AWS9801;3423,625;Mx
139000;0.14;16;19600;1343;64;2;1;1.5;6;electric;electric;public/commercial;No;No;Yes;14/08/2004;UC0101793570AWS12796;3490,5;Mx
206000;0.51;15;39600;2011;64;3;1;2.5;7;hot air;gas;public/commercial;No;No;Yes;14/08/2005;UC0101364227AWS10023;5944,428571;M
120000;0.21;15;28800;1180;64;2;1;1.5;3;hot air;gas;public/commercial;No;No;Yes;14/08/2005;UC0101696996AWS4031;9993,333333;Lx
205980;0.14;1;45200;1983;64;3;1;2.5;5;hot air;gas;public/commercial;No;Yes;Yes;11/08/2019;UC0101905060AWS89153;9436,6;Lx
275000;0.55;14;72000;2253;64;3;1;2.5;7;hot air;gas;public/commercial;No;No;Yes;14/08/2006;UC0101581899AWS59664;10607,57143;Lx
139000;0.07;12;24500;1604;64;2;;1.5;4;hot air;gas;public/commercial;No;No;Yes;13/08/2008;UC0101640142AWS72579;6526;M
89900;0.49;83;11900;1196;45;3;;1;6;hot air;gas;septic;No;No;No;31/08/1937;UC0101377250AWS81471;2182,666667;S
139900;0.07;13;24500;1602;64;2;;2.5;7;hot air;gas;public/commercial;No;No;Yes;14/08/2007;UC0101245155AWS3426;3728,857143;Mx
172750;0.36;1;37100;1747;64;3;;2.5;5;hot air;gas;public/commercial;No;Yes;No;11/08/2019;UC010121131AWS47498;7769,4;M
136000;0.5;37;19800;1092;64;3;;1;5;hot water/steam;oil;septic;No;No;No;20/08/1983;UC0101102523AWS9583;4178,4;Mx
270000;0.48;10;37800;2410;64;4;1;2.5;11;hot air;gas;public/commercial;No;No;Yes;13/08/2010;UC0101367197AWS51414;3655,454545;Mx
174000;0.29;14;31100;1933;64;3;1;2.5;6;hot air;gas;public/commercial;No;No;Yes;14/08/2006;UC0101988301AWS18762;5505,5;Mx
379000;0.68;9;57200;3080;64;4;1;2.5;12;hot air;gas;public/commercial;No;No;Yes;13/08/2011;UC0101629555AWS28180;5023,333333;Mx
382500;4.08;13;75500;4534;64;6;2;2.5;12;hot air;oil;septic;No;No;Yes;14/08/2007;UC0101544406AWS24183;6669,5;M
144900;0.1;14;26000;1677;64;3;1;2.5;5;hot air;gas;public/commercial;No;No;Yes;14/08/2006;UC0101221895AWS18720;5535,4;Mx
349900;0.62;7;57800;2900;64;4;1;2.5;11;hot air;gas;public/commercial;No;No;Yes;12/08/2013;UC0101922654AWS81466;5518,181818;Mx
133000;0.07;16;20300;1392;64;2;1;1.5;5;electric;electric;public/commercial;No;No;Yes;14/08/2004;UC0101522629AWS78315;4338,4;Mx
115000;0.16;15;22400;1058;64;2;1;1.5;7;hot air;gas;public/commercial;No;No;No;14/08/2005;UC0101250418AWS69730;3351,142857;Mx
211950;0.36;1;29200;2342;64;4;1;2.5;8;hot air;gas;public/commercial;No;Yes;Yes;11/08/2019;UC0101462095AWS60666;3942,75;Mx
227812;0.01;0;37200;2206;64;4;1;2.5;10;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101800614AWS43307;3940,6;Mx
164400;0.34;1;36200;1516;64;3;1;2;5;hot air;gas;public/commercial;No;Yes;Yes;11/08/2019;UC0101276285AWS21342;7543,2;M
340000;0.75;12;82500;2836;64;4;1;2.5;10;hot air;gas;public/commercial;No;No;Yes;13/08/2008;UC0101161714AWS15779;8533,6;M
139900;0.29;15;35200;1256;64;2;;1.5;7;hot air;gas;public/commercial;No;No;Yes;14/08/2005;UC0101990869AWS90204;5208;Mx
279900;0.47;6;20000;2340;64;4;1;3.5;10;hot air;gas;public/commercial;No;No;Yes;12/08/2014;UC0101490295AWS33588;2234;S
225000;0.32;0;53900;2129;64;4;1;2.5;9;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101218864AWS44299;6225,444444;M
144500;0.12;15;16800;1343;64;2;1;2.5;4;hot air;gas;public/commercial;No;No;Yes;14/08/2005;UC0101420958AWS21794;4535,75;Mx
362710;1;0;24300;2963;64;4;1;2.5;10;hot air;gas;septic;No;Yes;Yes;10/08/2020;UC0101791207AWS99396;2726,3;S
247000;0.46;13;36600;2114;64;4;1;3.5;8;hot air;gas;public/commercial;No;No;Yes;14/08/2007;UC0101426816AWS55525;4839,25;Mx
120000;0.18;16;21400;1144;64;2;1;1;7;electric;electric;public/commercial;No;No;Yes;14/08/2004;UC0101365297AWS33905;3220,571429;Mx
136000;0.55;33;14900;988;64;3;1;1;7;hot air;oil;septic;No;No;No;19/08/1987;UC0101358088AWS70826;2269,714286;S
228500;0.46;9;45800;1475;64;3;;2;4;hot air;gas;public/commercial;No;No;No;13/08/2011;UC0101825785AWS28378;11818,75;Lx
162800;0.15;10;28500;1247;64;3;;1.5;7;hot air;gas;public/commercial;No;No;No;13/08/2010;UC0101499467AWS5292;4249,571429;Mx
230000;0.93;48;23500;1912;64;5;1;2;10;hot water/steam;gas;septic;No;No;No;22/08/1972;UC0101450751AWS59892;2541,2;S
115800;0.46;23;19700;1440;64;3;;1.5;5;hot air;oil;septic;No;No;No;16/08/1997;UC0101651601AWS46803;4228;Mx
175000;0.26;16;30100;1596;64;3;1;2;6;hot air;gas;public/commercial;No;No;Yes;14/08/2004;UC0101262852AWS12026;5282,666667;Mx
263008;0.63;0;24400;2665;64;4;1;2.5;11;hot air;gas;public/commercial;No;Yes;Yes;10/08/2020;UC0101969128AWS76179;2460,454545;S
146000;0.5;35;28000;1984;64;3;;1.5;8;hot water/steam;gas;septic;No;No;No;19/08/1985;UC010162318AWS64152;3748;Mx
204900;0.03;10;35800;1616;64;3;;2;6;hot air;gas;public/commercial;No;No;Yes;13/08/2010;UC010132555AWS47291;6236;M
265000;0.17;9;40500;1917;64;3;1;2.5;5;hot air;gas;public/commercial;No;No;No;13/08/2011;UC0101189035AWS88412;8483,4;M
167500;0.64;37;16400;2592;64;3;1;1.5;9;hot water/steam;oil;septic;No;No;No;20/08/1983;UC0101982495AWS9943;2110,222222;S
205000;0.47;6;25500;1845;64;3;1;2.5;9;hot air;gas;public/commercial;No;No;No;12/08/2014;UC0101577430AWS20514;3038,333333;Mx
