Suburbio;Direccion;Piezas;tipo;Precio;Metodo;Vendedor;Fecha;Distancia;Codigo postal;habitaciones;Banos;Carros;AreaCons;AreaNoConstruida;AreaComun;Latitud;Longitud;Region;Propietario
Abbotsford;78 Yarra St;3;h;1176500;S;LITTLE;16/07/2016;90;3067;2;1;2;187;84;Yarra;-378021;1449965;Northern Metropolitan;4019
Abbotsford;196 Nicholson St;3;h;955000;S;Collins;17/09/2016;88;3067;3;1;2;206;87;Yarra;-378022;1449975;Northern Metropolitan;4019
Abbotsford;42 Valiant St;2;h;890000;S;Biggin;17/09/2016;83;3067;2;1;2;188;83;Yarra;-378011;1450004;Northern Metropolitan;4019
Abbotsford;3/72 Charles St;4;h;1330000;PI;Kay;18/03/2017;86;3067;4;2;2;314;152;Yarra;-378073;1449952;Northern Metropolitan;4019
Abbotsford;13/11 Nicholson St;3;t;900000;S;Beller;18/03/2017;82;3067;3;2;1;207;95;Yarra;-378093;1449959;Northern Metropolitan;4019
Abbotsford;138/56 Nicholson St;3;u;1090000;S;Jellis;18/03/2017;89;3067;3;2;2;214;97;Yarra;-378078;1449965;Northern Metropolitan;4019
Abbotsford;6/219 Nicholson St;2;u;500000;S;Collins;18/06/2016;90;3067;2;1;1;125;68;Yarra;-378015;1449972;Northern Metropolitan;4019
Abbotsford;52a William St;2;h;1100000;PI;Biggin;18/06/2016;74;3067;2;2;2;207;105;Yarra;-378079;1449977;Northern Metropolitan;4019
Abbotsford;49 Park St;2;h;1315000;S;Marshall;19/11/2016;80;3067;2;1;1;204;33;Yarra;-37808;144994;Northern Metropolitan;4019
Abbotsford;65/80 Trenerry Cr;1;u;480000;S;Biggin;19/11/2016;88;3067;;;1;174;96;;;;Northern Metropolitan;4019
Abbotsford;119/52 Nicholson St;1;u;423500;S;hockingstuart;22/05/2016;87;3067;;;1;132;44;;;;Northern Metropolitan;4019
Abbotsford;5/20 Abbotsford St;1;u;426000;SP;Greg;22/08/2016;87;3067;1;1;1;141;86;Yarra;-378016;1449988;Northern Metropolitan;4019
Abbotsford;48 Abbotsford St;3;h;1447500;PI;Nelson;22/08/2016;84;3067;3;3;2;176;62;Yarra;-378017;1450001;Northern Metropolitan;4019
Abbotsford;116/56 Nicholson St;1;u;457000;S;Jellis;22/08/2016;87;3067;1;1;1;150;72;Yarra;-378078;1449965;Northern Metropolitan;4019
Abbotsford;159 Park St;2;h;1135000;S;Nelson;22/08/2016;80;3067;2;2;1;169;65;Yarra;-378005;1449952;Northern Metropolitan;4019
Abbotsford;49/84 Trenerry Cr;2;h;700000;S;Biggin;23/04/2016;81;3067;;;1;157;79;;;;Northern Metropolitan;4019
Abbotsford;31 Turner St;4;h;1542000;S;Collins;24/09/2016;76;3067;4;3;2;278;166;Yarra;-377994;1449965;Northern Metropolitan;4019
Abbotsford;17/1 Abbot St;3;t;962000;SP;Jellis;25/02/2017;77;3067;;;1;248;110;;-377972;1449969;Northern Metropolitan;4019
Abbotsford;166 Gipps St;3;h;1290000;S;Biggin;25/02/2017;62;3067;3;2;1;252;104;Yarra;-37805;1449943;Northern Metropolitan;4019
Abbotsford;60 Stafford St;3;h;1290000;S;Biggin;25/02/2017;84;3067;3;1;1;170;63;Yarra;-378007;1449958;Northern Metropolitan;4019
Abbotsford;11/205 Gipps St;1;u;470000;S;Nelson;26/07/2016;88;3067;1;1;1;154;101;Yarra;-378055;1449961;Northern Metropolitan;4019
Abbotsford;47 Studley St;2;h;1180000;S;Jellis;27/11/2016;83;3067;2;1;2;224;98;Yarra;-378016;1449956;Northern Metropolitan;4019
Abbotsford;45 Yarra St;3;h;1195000;SP;Jellis;27/11/2016;85;3067;3;2;2;154;72;Yarra;-378022;1449954;Northern Metropolitan;4019
Abbotsford;200 Nicholson St;2;h;1012500;S;Nelson;28/05/2016;71;3067;2;1;2;168;69;Yarra;-378021;1449976;Northern Metropolitan;4019
Abbotsford;82/84 Trenerry Cr;2;u;970000;SP;Biggin;28/05/2016;88;3067;;;1;166;64;;;;Northern Metropolitan;4019
Abbotsford;27 Charles St;2;h;1030000;S;Biggin;30/07/2016;83;3067;2;1;1;239;102;Yarra;-378086;1449946;Northern Metropolitan;4019
Abbotsford;40/80 Trenerry Cr;3;h;927000;S;Biggin;30/07/2016;73;3067;;;2;196;72;;;;Northern Metropolitan;4019
Airport West;154 Halsey Rd;3;t;840000;PI;Nelson;3/09/2016;89;3042;3;2;1;192;89;Moonee Valley;-37718;144878;Western Metropolitan;3464
Airport West;50 Bedford St;3;h;730000;VB;Nelson;3/12/2016;88;3042;3;2;1;203;113;Moonee Valley;-377203;1448755;Western Metropolitan;3464
Airport West;50 Bedford St;3;h;770000;SP;Nelson;4/03/2017;85;3042;3;2;1;129;66;Moonee Valley;-377203;1448755;Western Metropolitan;3464
Airport West;23 Hart St;2;h;603000;S;Nelson;4/03/2017;82;3042;2;1;1;140;69;Moonee Valley;-377294;144888;Western Metropolitan;3464
Airport West;1/80 Hawker St;3;t;700000;S;Brad;4/03/2017;90;3042;3;2;1;189;81;Moonee Valley;-377218;1448837;Western Metropolitan;3464
Airport West;1/37 Hillside Gr;3;h;600000;S;Maddison;4/03/2017;84;3042;2;1;1;149;93;Moonee Valley;-377273;1448744;Western Metropolitan;3464
Airport West;2/49 McIntosh St;2;u;500000;VB;Barry;4/03/2017;85;3042;2;1;1;156;78;Moonee Valley;-377215;1448864;Western Metropolitan;3464
Airport West;4/9 West Ct;2;t;420000;VB;Barry;4/06/2016;95;3042;;;1;160;81;;;;Western Metropolitan;3464
Airport West;1/36 York St;3;t;500000;VB;Nelson;4/06/2016;91;3042;;;1;135;87;;;;Western Metropolitan;3464
Airport West;33 Bowes Av;5;h;1035000;S;Airport;6/08/2016;81;3042;;;1;176;92;;;;Western Metropolitan;3464
Airport West;89 Bowes Av;4;h;960000;S;Barry;6/08/2016;73;3042;;;2;173;103;;;;Western Metropolitan;3464
Airport West;45 Laurence Av;4;h;960000;S;Nelson;6/08/2016;86;3042;;;1;174;59;;;;Western Metropolitan;3464
Airport West;54 Marshall Rd;3;h;720000;S;Barry;6/08/2016;93;3042;2;1;1;148;52;Moonee Valley;-377173;1448872;Western Metropolitan;3464
Airport West;36 Roberts Rd;4;h;785000;S;Considine;6/08/2016;78;3042;3;1;2;167;96;Moonee Valley;-377259;1448792;Western Metropolitan;3464
Airport West;11 Harrington Rd;6;h;725000;SP;Barry;7/05/2016;92;3042;6;3;1;183;92;Moonee Valley;-377239;1448735;Western Metropolitan;3464
Airport West;2/252 Parer Rd;2;t;450000;S;Barry;7/05/2016;88;3042;2;1;1;117;73;Moonee Valley;-377216;144871;Western Metropolitan;3464
Airport West;3/19 Hart St;2;u;515000;S;Barry;7/11/2016;90;3042;2;1;1;152;62;Moonee Valley;-377298;1448883;Western Metropolitan;3464
Airport West;81a Roberts Rd;3;h;680000;VB;Nelson;8/10/2016;88;3042;;;1;156;98;;;;Western Metropolitan;3464
Airport West;2/62 Clydesdale Rd;2;u;530000;S;Nelson;10/09/2016;89;3042;2;1;1;137;60;Moonee Valley;-377234;1448792;Western Metropolitan;3464
Airport West;3 Deidre Ct;3;h;895000;PI;Rendina;10/09/2016;76;3042;3;1;1;201;94;Moonee Valley;-377249;1448728;Western Metropolitan;3464
Airport West;3/24 Elstone Av;3;u;600000;VB;Nelson;10/09/2016;84;3042;;;1;159;88;;;;Western Metropolitan;3464
Airport West;13 Etzel St;3;h;805000;S;Nelson;10/12/2016;75;3042;3;1;2;164;100;Moonee Valley;-377217;1448783;Western Metropolitan;3464
Airport West;37a North St;3;t;760000;PI;Barry;10/12/2016;83;3042;;;1;151;65;;;;Western Metropolitan;3464
Airport West;1/43 Cameron St;3;u;752000;S;Nelson;11/02/2017;90;3042;3;1;1;202;112;Moonee Valley;-377302;1448855;Western Metropolitan;3464
Airport West;1/69 Bowes Av;3;u;580000;VB;Nelson;12/11/2016;83;3042;;;1;127;70;;;;Western Metropolitan;3464
Airport West;2/9 El Reno Cr;3;h;725000;PI;Ray;12/11/2016;79;3042;;;1;239;180;;;;Western Metropolitan;3464
Airport West;92 McNamara Av;4;h;758000;S;Jellis;13/08/2016;93;3042;;;1;182;68;;;;Western Metropolitan;3464
Airport West;145a Victory Rd;2;u;440000;S;Barry;13/08/2016;93;3042;2;1;1;156;114;Moonee Valley;-377177;1448787;Western Metropolitan;3464
Airport West;20 Creswell Av;3;h;970000;S;Barry;14/05/2016;84;3042;;;2;200;106;;;;Western Metropolitan;3464
Airport West;241 Parer Rd;5;h;755000;PI;Propertyau;14/05/2016;92;3042;3;2;1;227;124;Moonee Valley;-377248;1448699;Western Metropolitan;3464
Airport West;71 Bowes Av;4;h;985000;S;Barry;15/10/2016;86;3042;;;2;177;84;;;;Western Metropolitan;3464
Airport West;2/40 Earl St;3;t;700000;PI;Brad;15/10/2016;83;3042;3;2;1;171;80;Moonee Valley;-37727;144887;Western Metropolitan;3464
Airport West;2/112 Parer Rd;2;u;509500;SP;Nelson;15/10/2016;89;3042;;;1;125;71;;;;Western Metropolitan;3464
Airport West;180 Parer Rd;3;h;830000;S;Barry;16/04/2016;93;3042;3;1;2;199;83;Moonee Valley;-377186;144876;Western Metropolitan;3464
Airport West;4/54 Hawker St;2;u;462500;S;Barry;16/07/2016;94;3042;2;1;1;146;53;Moonee Valley;-377218;1448863;Western Metropolitan;3464
Airport West;43 Hillside Gr;3;h;670000;SP;Barry;16/07/2016;91;3042;3;2;1;168;87;Moonee Valley;-377269;1448742;Western Metropolitan;3464
Airport West;174 Parer Rd;2;h;675000;S;Barry;16/07/2016;87;3042;2;1;1;160;71;Moonee Valley;-377187;1448765;Western Metropolitan;3464
Airport West;138 Victory Rd;3;h;1042000;S;Nelson;16/07/2016;87;3042;3;2;1;236;93;Moonee Valley;-377173;1448796;Western Metropolitan;3464
Airport West;75 King St;3;h;910000;S;McDonald;17/09/2016;90;3042;3;1;2;151;75;Moonee Valley;-377231;1448835;Western Metropolitan;3464
Airport West;6 Kittyhawk St;4;h;773000;S;Brad;17/09/2016;82;3042;5;3;1;137;74;Moonee Valley;-377263;1448679;Western Metropolitan;3464
Airport West;7 McNamara Av;3;h;715000;S;Barry;17/09/2016;91;3042;;;1;121;57;;;;Western Metropolitan;3464
Airport West;478 Fullarton Rd;3;h;810000;PI;Barry;18/03/2017;76;3042;3;3;1;195;86;Moonee Valley;-377285;1448694;Western Metropolitan;3464
Airport West;144 Marshall Rd;3;h;715000;S;Rendina;18/03/2017;86;3042;3;2;1;156;72;Moonee Valley;-377164;1448792;Western Metropolitan;3464
Airport West;106 Parer Rd;3;h;790000;S;Nelson;18/03/2017;77;3042;3;1;1;180;68;Moonee Valley;-377194;1448827;Western Metropolitan;3464
Airport West;1/41 Hillside Gr;2;t;460000;VB;Nelson;18/06/2016;94;3042;;;1;149;79;;;;Western Metropolitan;3464
Airport West;3/7 South Rd;3;t;540000;SP;Nelson;18/06/2016;90;3042;2;2;1;154;83;Moonee Valley;-377231;1448802;Western Metropolitan;3464
Airport West;37 North St;3;t;825000;SP;Barry;19/11/2016;77;3042;3;2;1;166;89;Moonee Valley;-3772;1448776;Western Metropolitan;3464
Airport West;10 Hilbert Rd;3;h;685000;S;Barry;22/05/2016;79;3042;3;1;1;194;116;Moonee Valley;-377226;1448733;Western Metropolitan;3464
Airport West;7/42 York St;3;u;445000;S;Brad;22/05/2016;88;3042;;;1;140;93;;;;Western Metropolitan;3464
Airport West;110 Halsey Rd;3;h;805000;S;Barry;22/08/2016;92;3042;3;1;2;194;111;Moonee Valley;-377184;144882;Western Metropolitan;3464
Airport West;2/13 North St;2;u;510000;S;Nelson;22/08/2016;85;3042;2;1;1;116;71;Moonee Valley;-377202;1448797;Western Metropolitan;3464
Airport West;105a Victory Rd;3;h;612000;S;Nelson;22/08/2016;90;3042;3;2;1;111;53;Moonee Valley;-377181;1448824;Western Metropolitan;3464
Airport West;117 Marshall Rd;3;h;662000;S;Brad;23/04/2016;90;3042;3;1;1;126;66;Moonee Valley;-377169;1448815;Western Metropolitan;3464
Airport West;34 Moorna Dr;4;h;978000;S;Nelson;24/09/2016;88;3042;4;3;1;245;151;Moonee Valley;-377263;144869;Western Metropolitan;3464
Airport West;33 North St;3;h;720000;PI;Nelson;25/02/2017;86;3042;3;1;1;142;58;Moonee Valley;-3772;144878;Western Metropolitan;3464
Airport West;4/40 McNamara Av;2;u;474000;PI;Barry;26/07/2016;91;3042;;;1;124;76;;;;Western Metropolitan;3464
Airport West;5/93 McNamara Av;2;t;490000;SP;Frank;26/07/2016;86;3042;;;1;110;49;;;;Western Metropolitan;3464
Airport West;2/137 McNamara Av;3;h;405000;S;Ray;27/06/2016;93;3042;;;1;177;126;;;;Western Metropolitan;3464
Airport West;1/46 Bowes Av;3;t;715000;S;Barry;27/11/2016;80;3042;;;1;138;68;;;;Western Metropolitan;3464
Airport West;1/34 Elstone Av;3;u;671500;S;McDonald;27/11/2016;82;3042;;;1;209;108;;;;Western Metropolitan;3464
Airport West;49 Roberts Rd;4;h;765000;S;Prof.;27/11/2016;84;3042;4;1;1;162;86;Moonee Valley;-377261;1448785;Western Metropolitan;3464
Airport West;85 Roberts Rd;4;h;900000;S;Harcourts;27/11/2016;77;3042;4;2;1;183;85;Moonee Valley;-377256;1448739;Western Metropolitan;3464
Airport West;22a Walters Av;3;u;820000;S;Nelson;28/08/2016;92;3042;;;2;170;75;;;;Western Metropolitan;3464
Airport West;1/145 Parer Rd;3;u;650000;PI;Nelson;30/07/2016;80;3042;;;1;163;82;;;;Western Metropolitan;3464
Airport West;3/35 Walters Av;3;t;552000;SP;Nelson;30/07/2016;83;3042;;;1;156;90;;;;Western Metropolitan;3464
Albert Park;105 Kerferd Rd;2;h;1275000;S;hockingstuart;3/09/2016;82;3206;2;1;1;264;128;Port Phillip;-378459;1449555;Southern Metropolitan;3280
Albert Park;85 Richardson St;2;h;1455000;S;Thomson;3/09/2016;56;3206;2;1;1;197;77;Port Phillip;-37845;1449538;Southern Metropolitan;3280
Albert Park;112 Beaconsfield Pde;3;h;2850000;PI;Buxton;4/03/2017;20;3206;3;2;4;291;90;Port Phillip;-378481;1449499;Southern Metropolitan;3280
Albert Park;94 Graham St;3;h;1850000;S;Greg;4/03/2017;86;3206;3;2;2;328;90;Port Phillip;-378452;1449488;Southern Metropolitan;3280
Albert Park;396 Montague St;2;h;1436000;S;RT;4/03/2017;76;3206;2;1;1;279;85;Port Phillip;-378431;1449565;Southern Metropolitan;3280
Albert Park;75 Graham St;2;h;1110000;S;Marshall;6/08/2016;84;3206;1;1;1;168;78;Port Phillip;-378444;1449484;Southern Metropolitan;3280
Albert Park;54 Brooke St;2;h;1550000;S;Sotheby's;7/05/2016;83;3206;2;1;2;298;118;Port Phillip;-378405;1449521;Southern Metropolitan;3280
Albert Park;104 Richardson St;4;h;2300000;S;Marshall;7/05/2016;40;3206;4;2;1;229;64;Port Phillip;-378447;1449523;Southern Metropolitan;3280
Albert Park;4a Mills St;3;t;1550000;VB;Marshall;7/11/2016;68;3206;3;2;1;382;195;Port Phillip;-378443;1449598;Southern Metropolitan;3280
Albert Park;1 Moubray St;3;h;1800000;VB;Greg;7/11/2016;73;3206;3;2;2;243;96;Port Phillip;-378415;144952;Southern Metropolitan;3280
Albert Park;114 Victoria Av;3;h;2485000;S;Cayzer;8/10/2016;77;3206;;;2;404;132;;;;Southern Metropolitan;3280
Albert Park;29 Faussett St;2;h;2120000;S;Greg;10/09/2016;36;3206;2;1;3;365;133;Port Phillip;-378422;1449554;Southern Metropolitan;3280
Albert Park;3 Herbert St;3;h;1800000;VB;Cayzer;10/09/2016;48;3206;3;1;2;181;45;Port Phillip;-378443;1449579;Southern Metropolitan;3280
Albert Park;24 Kerferd Pl;3;h;1800000;S;Marshall;10/09/2016;87;3206;3;2;1;299;158;Port Phillip;-378421;1449571;Southern Metropolitan;3280
Albert Park;44 Draper St;2;h;1810000;PI;Greg;10/12/2016;81;3206;2;1;2;289;118;Port Phillip;-378379;1449539;Southern Metropolitan;3280
Albert Park;2 Dundas Pl;3;h;2615000;S;Cayzer;10/12/2016;45;3206;3;2;4;339;99;Port Phillip;-378415;1449585;Southern Metropolitan;3280
Albert Park;23 Finlay St;5;h;2100000;S;Greg;10/12/2016;84;3206;5;2;1;276;96;Port Phillip;-378436;1449557;Southern Metropolitan;3280
Albert Park;31 Richardson St;3;h;1300000;S;hockingstuart;10/12/2016;68;3206;3;1;1;264;118;Port Phillip;-378422;144949;Southern Metropolitan;3280
Albert Park;4a Gatehouse La;3;h;1370000;S;Greg;12/06/2016;80;3206;3;2;1;218;96;Port Phillip;-378451;1449511;Southern Metropolitan;3280
Albert Park;60 Brooke St;2;h;1000000;S;Cayzer;12/11/2016;88;3206;2;1;2;164;73;Port Phillip;-378407;1449523;Southern Metropolitan;3280
Albert Park;70 Barrett St;3;h;2575000;S;Greg;15/10/2016;56;3206;3;2;2;246;83;Port Phillip;-378445;1449501;Southern Metropolitan;3280
Albert Park;65 Graham St;2;h;1322500;S;Greg;15/10/2016;69;3206;2;1;2;182;107;Port Phillip;-378443;1449481;Southern Metropolitan;3280
Albert Park;364 Montague St;2;h;1562500;S;Greg;15/10/2016;64;3206;2;1;2;158;47;Port Phillip;-378424;1449562;Southern Metropolitan;3280
Albert Park;86 Mills St;3;h;2000000;VB;RT;16/04/2016;79;3206;3;2;2;442;211;Port Phillip;-37847;1449575;Southern Metropolitan;3280
Albert Park;129 Kerferd Rd;3;h;1900000;S;Greg;18/03/2017;75;3206;3;1;2;242;94;Port Phillip;-378468;1449546;Southern Metropolitan;3280
Albert Park;97 Page St;3;h;3010000;S;Greg;18/03/2017;30;3206;3;2;1;441;89;Port Phillip;-378473;1449551;Southern Metropolitan;3280
Albert Park;55 Withers St;4;h;2800000;VB;Cayzer;18/06/2016;73;3206;4;3;4;425;167;Port Phillip;-378467;1449475;Southern Metropolitan;3280
Albert Park;10/140 Kerferd Rd;2;u;647000;S;Greg;22/05/2016;81;3206;2;1;1;207;108;Port Phillip;-37846;1449542;Southern Metropolitan;3280
Albert Park;55 Merton St;3;h;2100000;SP;Marshall;23/04/2016;38;3206;2;1;1;257;103;Port Phillip;-378427;1449546;Southern Metropolitan;3280
Albert Park;49 Page St;3;h;2000000;PI;Marshall;24/09/2016;71;3206;3;1;1;308;84;Port Phillip;-378461;1449528;Southern Metropolitan;3280
Albert Park;13/52 Moubray St;1;u;442500;S;Marshall;25/02/2017;93;3206;1;1;1;144;70;Port Phillip;-378421;1449517;Southern Metropolitan;3280
Albert Park;115 Page St;4;h;4735000;S;Marshall;25/02/2017;-39;3206;4;2;6;597;239;Port Phillip;-378477;1449558;Southern Metropolitan;3280
Albert Park;32 Page St;2;h;1340000;S;Greg;25/02/2017;80;3206;2;1;1;239;100;Port Phillip;-37846;1449517;Southern Metropolitan;3280
Albert Park;34 Richardson St;3;h;1801000;S;hockingstuart;25/02/2017;71;3206;3;1;2;298;94;Port Phillip;-378429;1449493;Southern Metropolitan;3280
Albert Park;2b Dundas Pl;3;h;1532000;S;Chisholm;26/07/2016;70;3206;3;3;2;206;109;Port Phillip;-378415;1449585;Southern Metropolitan;3280
Albert Park;22 Greig St;3;h;3755000;S;Greg;26/07/2016;-4;3206;3;2;3;540;98;Port Phillip;-378413;14495;Southern Metropolitan;3280
Albert Park;27 Barrett St;4;h;2140000;S;Greg;27/06/2016;64;3206;3;2;3;304;116;Port Phillip;-378434;1449495;Southern Metropolitan;3280
Albert Park;3 Faussett St;2;u;1810000;PI;Marshall;27/06/2016;60;3206;;;2;275;107;;;;Southern Metropolitan;3280
Albert Park;44 Greig St;2;h;1750000;S;Marshall;27/11/2016;53;3206;2;1;2;323;109;Port Phillip;-378416;1449488;Southern Metropolitan;3280
Albert Park;6 Brooke St;2;h;980000;S;Greg;28/05/2016;83;3206;2;1;2;146;77;Port Phillip;-378387;1449519;Southern Metropolitan;3280
Albert Park;227a Danks St;3;h;2030000;S;hockingstuart;28/08/2016;80;3206;3;2;2;353;154;Port Phillip;-378488;1449551;Southern Metropolitan;3280
Albert Park;17 Reed St;3;h;1740000;PI;Marshall;28/08/2016;67;3206;3;2;2;320;185;Port Phillip;-378448;1449453;Southern Metropolitan;3280
Albert Park;74 Bridport St;3;h;2800000;VB;Buxton;30/07/2016;28;3206;3;3;4;539;239;Port Phillip;-378399;1449577;Southern Metropolitan;3280
Albert Park;9 Durham St;1;h;985000;S;Marshall;30/07/2016;91;3206;1;1;1;219;90;Port Phillip;-378411;1449497;Southern Metropolitan;3280
Alphington;6 Smith St;4;h;2000000;S;Brace;3/09/2016;58;3078;3;2;2;317;104;Darebin;-377707;1450318;Northern Metropolitan;2211
Alphington;5/6 Yarralea St;3;h;1110000;S;Jellis;3/09/2016;90;3078;3;2;1;229;159;Yarra;-377854;1450325;Northern Metropolitan;2211
Alphington;136A Fulham Rd;3;h;1492000;S;Jellis;4/03/2017;65;3078;3;2;1;280;100;Darebin;-377713;1450279;Northern Metropolitan;2211
Alphington;1/9 Roemer Cr;2;u;480000;PI;Miles;7/05/2016;93;3078;;;1;118;75;;;;Northern Metropolitan;2211
Alphington;2/21 Fulham Rd;3;t;1304000;SP;Holland;8/10/2016;73;3078;;;2;158;72;;;;Northern Metropolitan;2211
Alphington;44 Shiers St;4;h;1717500;S;Collins;8/10/2016;70;3078;4;2;3;213;106;Darebin;-377717;145031;Northern Metropolitan;2211
Alphington;83 Fulham Rd;5;h;2840000;S;Nelson;12/06/2016;72;3078;5;4;4;381;96;Darebin;-37775;1450268;Northern Metropolitan;2211
Alphington;3/19 Harker St;2;u;525500;S;Miles;12/11/2016;89;3078;2;1;1;181;95;Darebin;-377791;1450306;Northern Metropolitan;2211
Alphington;4/2 Miller St;2;t;805000;S;Miles;12/11/2016;86;3078;2;2;1;196;80;Darebin;-377804;1450308;Northern Metropolitan;2211
Alphington;2/5 Yarana Rd;2;u;465000;S;McGrath;12/11/2016;94;3078;2;1;1;129;63;Darebin;-377773;1450314;Northern Metropolitan;2211
Alphington;69 Lucerne Cr;3;h;1480000;S;Nelson;13/08/2016;55;3078;;;2;228;70;;;;Northern Metropolitan;2211
Alphington;815 Heidelberg Rd;3;h;2000000;PI;hockingstuart;15/10/2016;67;3078;3;3;1;380;119;Darebin;-3778;1450341;Northern Metropolitan;2211
Alphington;44 Naroon Rd;3;h;1540000;S;Nelson;16/04/2016;69;3078;3;1;1;253;75;Darebin;-377755;1450288;Northern Metropolitan;2211
Alphington;1/17 Rex Av;2;u;590000;PI;Nelson;17/09/2016;90;3078;;;1;159;83;;;;Northern Metropolitan;2211
Alphington;3/98 Grange Rd;2;u;820000;S;Nelson;18/03/2017;75;3078;2;1;1;169;84;Darebin;-377747;1450264;Northern Metropolitan;2211
Alphington;10 Bennett St;4;h;1830000;S;Nelson;19/11/2016;81;3078;4;2;1;324;157;Darebin;-377743;1450316;Northern Metropolitan;2211
Alphington;38 Bennett St;4;h;2100000;S;Nelson;19/11/2016;61;3078;4;2;3;364;104;Darebin;-377723;1450319;Northern Metropolitan;2211
Alphington;2c Hamilton St;3;h;865000;SP;hockingstuart;22/05/2016;86;3078;3;1;1;168;94;Darebin;-377802;1450243;Northern Metropolitan;2211
Alphington;5/5 Yarana Rd;2;u;390000;VB;Nelson;22/05/2016;93;3078;2;1;1;129;74;Darebin;-377773;1450314;Northern Metropolitan;2211
Alphington;7/7 Chandler Hwy;2;t;650000;SP;Brace;24/09/2016;83;3078;0;1;1;175;95;Yarra;-377848;145025;Northern Metropolitan;2211
Alphington;1/14 Fulham Rd;2;u;512000;S;Love;25/02/2017;91;3078;2;1;1;134;62;Darebin;-377805;1450262;Northern Metropolitan;2211
Alphington;17 Lowther St;3;h;1361000;S;Collins;25/02/2017;63;3078;;;2;244;82;;-377796;1450285;Northern Metropolitan;2211
