"SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30-59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60-89DaysPastDueNotWorse","NumberOfDependents","RevolvingUtilizationOfUnsecuredLines-Adjusted"
"1",0.836081959,50,1,0.513249878,6150,7,4,2,1,1,0
"0",0.456635841,68,1,962,5400,3,4,1,1,0,0
"1",0.693017533,43,1,0.069959514,6174,3,4,0,1,0,0
"1",0.538753925,53,1,0.115509541,4925,5,4,0,1,5,0
"0",0.645351581,46,1,0.096161783,4845,10,4,0,1,2,0
"1",0.9999999,26,1,0.291758762,3166,3,4,1,1,0,0
"1",0.966295759,41,1,0.112338858,3800,4,4,0,1,3,0
"1",1.26450116,64,1,14.39989192,3700,6,4,0,1,0,0
"1",1.091514143,61,1,1.044305595,7041,9,4,2,1,2,0
"1",0.458070639,58,1,0.40821256,3725,7,4,1,1,2,0
"0",0.9999999,30,1,0.251968504,2666,2,4,0,1,2,0
"1",0.9999999,46,1,0.12849162,3400,3,4,0,1,2,0
"0",1.239043825,57,1,0.196728188,2383,3,4,0,1,1,0
"1",0.826458523,38,1,2439,5400,10,4,1,1,0,0
"0",1.219948247,52,1,0.152700978,2350,3,4,0,1,0,0
"1",0.53122398,24,1,0.226988755,2400,4,4,0,1,0,0
"0",0.297376705,42,1,0.218399691,5173,7,4,0,1,1,0
"1",1.001272496,62,1,0.280813653,5800,7,4,0,1,2,0
"1",1.389443652,30,1,0.25189924,2500,6,4,0,1,1,0
"1",1.610556348,45,1,0.207700852,2700,3,4,0,1,2,0
"1",0.795640872,23,1,0.230809399,1914,10,4,0,1,1,0
"0",0.9999999,49,1,2977,5400,2,4,2,1,0,0
"0",1.184455083,46,1,0.722425858,3000,7,4,1,1,2,0
"1",0.9999999,30,1,0.284069098,3125,3,4,0,1,1,0
"1",0.9999999,56,1,0.224507284,3500,1,4,0,1,0,0
"1",0.9999999,31,1,0.643921192,2080,2,4,1,1,2,0
"1",0.9999999,63,1,0.58086745,7400,6,4,3,1,0,0
"1",0,52,1,0.406886338,2700,10,4,2,1,0,0
"1",0.9999999,61,1,2598,5400,2,4,1,1,0,0
"1",0.952123742,31,1,0.192903548,2000,2,4,0,1,1,0
"1",0.820224719,32,1,0.169961372,4400,4,4,0,1,3,0
"1",0.9999999,52,0,0.237812128,6727,2,4,0,1,1,0
"0",0.721278721,25,0,0.197633515,3126,5,4,0,1,2,0
"1",0.964290816,47,0,0.331649331,3364,3,4,0,1,1,0
"1",1.354322839,53,0,679,5400,4,4,0,1,0,0
"1",0.9999999,36,0,0.112864658,4181,1,4,0,1,0,0
"1",1.121756487,54,0,0.048167222,3300,1,4,0,1,3,0
"1",0.9999999,61,0,1344,5400,2,4,1,1,0,0
"1",1.007050529,36,0,0.088760982,3300,4,4,0,1,1,0
"1",0.4546851,30,0,0.118981907,3260,5,4,0,1,1,0
"0",0.9999999,55,0,0.661207779,976,2,4,0,1,0,0
"0",0.007984032,30,0,0.099960016,2500,3,4,0,1,0,0
"0",0.9999999,46,0,0.548908515,6000,5,4,2,1,0,0
"0",1.551495017,51,0,0.50821857,2250,5,4,1,1,3,0
"1",0.9999999,44,0,0.449900022,4500,4,4,1,1,1,0
"1",0.997002997,35,0,0.122931985,4351,3,4,0,1,2,0
"0",1.430784608,24,0,0.497085762,1200,2,4,0,1,1,0
"1",0.9999999,28,0,0.29199549,2660,7,4,0,1,0,0
"1",0.578931421,91,0,0.297576194,4166,4,4,0,1,1,0
"0",0.580545944,23,0,0.047325446,6000,3,4,0,1,1,0
"1",0.694663167,40,0,0.357200452,6200,4,4,2,1,1,0
"0",0.9999999,29,0,0.263742365,1800,2,4,0,1,0,0
"0",0.9999999,42,0,0.120575885,3333,1,4,0,1,1,0
"0",0.539538403,42,0,0.96629053,7000,9,4,3,1,1,0
"1",1.744510978,49,0,1.224310276,2500,4,4,2,1,1,0
"1",0.358873608,39,4,453,5400,7,4,0,0,0,0
"0",0.874334911,49,4,2146,5400,9,4,1,0,0,0
"1",0.527767173,60,4,0.216532553,4100,10,4,0,0,1,0
"1",1.071785184,46,3,6243,0,9,4,2,0,0,0
"1",0.9999999,36,3,0.199925953,2700,3,4,0,0,3,0
"1",0.9999999,39,3,0.982287601,3330,7,4,1,0,2,0
"1",1.02716214,47,3,0.38410265,6000,7,4,2,0,1,0
"1",0.961012996,52,3,0.786340563,4333,6,4,2,0,2,0
"1",0.484940521,35,3,663,5400,9,4,0,0,0,0
"0",0.505796083,49,3,0.197617997,6800,10,4,0,0,2,0
"0",0.946167054,40,3,0.070206621,4500,3,4,0,0,1,0
"0",0.96345515,54,2,0.166693692,6166,5,4,0,0,3,0
"1",0.9999999,47,2,0.135659675,5100,2,4,1,0,2,0
"0",0.658341658,26,2,0.193829487,4245,3,4,0,0,2,0
"1",0.9999999,29,2,0.103421761,2600,5,4,0,0,2,0
"1",1.61752988,50,2,0.276570048,1655,2,4,0,0,0,0
"1",0.524500907,36,2,0.18957724,3760,5,4,0,0,0,0
"1",0.87359108,36,2,0.424726661,4755,8,4,0,0,1,0
"0",0.421578422,35,2,0.119968009,3750,8,4,0,0,0,0
"1",0.573883162,58,2,0.471960989,2870,6,4,1,0,0,0
"1",0.978808477,47,1,0.428419088,3750,5,4,0,0,1,0
"0",0.9999999,45,1,1.094979352,4600,3,4,0,0,1,0
"1",0.981145374,27,1,0.228254948,5506,5,4,1,0,1,0
"1",0.9999999,43,1,0.799207921,2524,4,4,2,0,2,0
"0",1.56261343,38,1,0.291541291,2990,5,4,0,0,0,0
"0",0.9999999,34,1,0.012882138,5200,1,4,0,0,1,0
"1",0.995518014,49,1,0.586966094,2270,6,4,0,0,0,0
"1",0.545804169,45,1,0.426038377,4116,3,4,1,0,0,0
"1",0.92338441,45,1,0.388447851,3652,3,4,1,0,3,0
"1",0.9999999,50,1,0.372446762,2300,2,4,1,0,0,0
"1",0.9999999,39,1,0.445456565,4500,7,4,0,0,1,0
"1",0.9999999,40,1,0.111972007,4000,1,4,0,0,1,0
"1",0.342832146,47,1,0.259490844,2238,2,4,0,0,2,0
"1",0.9999999,53,1,0.523369158,4000,6,4,2,0,1,0
"1",0.870302137,37,1,0.506873773,5600,5,4,1,0,4,0
"0",0.371257485,53,1,5,5400,1,4,0,0,0,0
"1",0.9999999,29,1,0.035438437,2200,5,4,0,0,0,0
"1",0.776415688,46,1,0.473736233,7081,9,4,3,0,4,0
"1",1.755572636,57,1,0.650436954,800,8,4,0,0,1,0
"1",1.038580118,55,1,0.821978022,3184,7,4,1,0,1,0
"0",0.960964251,39,1,0.409511934,5613,5,4,1,0,3,0
"1",0.634920635,44,1,0.30345801,2833,5,4,0,0,2,0
"0",0.518725003,54,1,0.602938176,4900,3,4,1,0,0,0
"0",0.602269657,66,1,2057,5400,8,4,1,0,0,0
"1",1.004726413,61,1,0.734783438,5240,10,4,2,0,0,0
"1",0.585934896,43,1,0.064884907,6472,5,4,0,0,4,0
"1",0.9999999,43,1,0.240474703,1600,3,4,0,0,0,0
"1",1.636655949,45,1,0.690761848,3333,3,4,1,0,1,0
"1",0.928407159,41,1,0.190317488,5700,5,4,0,0,3,0
"1",0.9999999,37,1,0.136345462,2500,2,4,0,0,1,0
"1",0.9999999,40,1,0.649982859,2916,2,4,1,0,2,0
"1",1.803986711,27,1,0.382340691,2400,2,4,0,0,3,0
"1",0.9999999,53,1,0.21299188,1600,2,4,0,0,0,0
"0",0.9999999,30,1,0.087003925,4585,1,4,0,0,2,0
"0",0.91246432,26,1,0.032961191,1880,2,4,0,0,0,0
"1",0.9999999,49,1,356,5400,0,4,0,0,2,0
"1",0.9999999,61,1,0.164151972,5500,2,4,1,0,1,0
"1",2.760956175,65,0,0.470273484,1681,3,4,0,0,0,0
"0",0.9999999,51,0,0.015480591,4327,0,4,0,0,3,0
"1",0.998003992,41,0,0.020523498,3361,2,4,0,0,4,0
"1",0.9999999,47,0,143,5400,0,4,0,0,0,0
"0",0.240306633,57,0,0.439149811,2916,6,4,0,0,0,0
"1",0.9999999,34,0,0,5400,0,4,0,0,0,0
"0",0.981455064,26,0,0.19575177,2400,3,4,0,0,1,0
"0",0.615273149,35,0,0.144608614,3180,4,4,0,0,0,0
"0",0.728436209,59,0,3259,5400,3,4,1,0,0,0
"0",0.9999999,28,0,251,0,0,4,0,0,0,0
"0",0.9999999,46,0,0,5400,0,4,0,0,0,0
"1",2.239600666,45,0,0.07522666,4080,4,4,0,0,2,0
"1",0.956841035,47,0,0.135920019,4200,9,4,0,0,0,0
"0",0.9999999,50,0,311,5400,1,4,0,0,2,0
"0",0.9999999,25,0,0.03398867,3000,0,4,0,0,0,0
"1",0.9999999,38,0,0,5400,0,4,0,0,0,0
"1",0.95034161,43,0,1306,5400,6,4,0,0,0,0
"1",1.041916168,30,0,0.113963438,2570,4,4,0,0,3,0
"1",0.9999999,25,0,0.111203665,2400,2,4,0,0,0,0
"1",0.9999999,36,0,0.167708073,4000,1,4,0,0,0,0
"0",0.684430512,34,0,0.143841912,2175,4,4,0,0,3,0
"0",0.388638611,48,0,0.22395928,5500,6,4,0,0,2,0
"1",0.9999999,27,0,0.018131652,2536,0,4,0,0,0,0
"1",0.898840464,51,0,0.180622259,4788,0,4,0,0,2,0
"1",0.956690727,50,0,0.055145362,4333,5,4,0,0,0,0
"0",0.9999999,48,0,32,5400,0,4,0,0,0,0
"1",0.9999999,36,0,0.009327115,1500,0,4,0,0,0,0
"1",0.9999999,28,0,0,5400,0,4,0,0,0,0
"1",0.9999999,54,0,3035,5400,4,4,2,0,0,0
"1",0.9999999,36,0,0.530979347,1500,1,4,0,0,1,0
"1",0.9999999,32,0,0.181852696,2633,1,4,0,0,1,0
"0",1.141430948,44,0,0.008283348,3500,2,4,0,0,3,0
"0",1.368178324,27,0,0.092725819,1250,2,4,0,0,2,0
"0",0.9999999,27,0,0.03407542,2200,0,4,0,0,0,0
"0",0.9999999,35,0,0.006998834,6000,0,4,0,0,0,0
"1",1.70259481,29,0,1.740863787,300,4,4,0,0,0,0
"1",2.875621891,41,0,0.163576881,2750,2,4,0,0,1,0
"1",0,35,0,0.295573536,2100,7,4,0,0,0,0
"1",0.9999999,49,0,0.012473523,4248,2,4,0,0,1,0
"1",0.891444896,26,0,0.300771208,3500,7,4,0,0,0,0
"1",1.469857619,28,0,0.206500077,6522,4,4,0,0,2,0
"0",0.9999999,25,0,0.021654636,1800,0,4,0,0,0,0
"0",0.9999999,71,0,869,5400,1,4,0,0,0,0
"1",0.676550117,43,0,0.401799743,7000,10,4,0,0,4,0
"0",0.985018727,64,0,0.148961077,3416,2,4,0,0,0,0
"0",0.9999999,42,0,0.893048128,5609,8,4,1,0,2,0
"0",0.072764805,63,0,117,5400,3,4,0,0,0,0
"0",0.9999999,39,0,0,5400,0,4,0,0,0,0
"0",0.9999999,29,0,0.026438569,4500,4,4,0,0,2,0
"1",1.274725275,36,0,0.328557148,3000,2,4,0,0,2,0
"1",0.9999999,35,0,0.033644288,6538,0,4,0,0,1,0
"0",0.9999999,50,0,27,5400,0,4,0,0,0,0
"1",0.9999999,30,0,0.185120094,1706,0,4,0,0,3,0
"0",0.9999999,53,0,395,5400,0,4,0,0,0,0
"1",0.9999999,53,0,0.486894713,2250,3,4,1,0,1,0
"0",0.9999999,58,0,1735,5400,4,4,2,0,0,0
"0",0.9999999,30,0,0.042789757,5935,6,4,0,0,0,0
"0",0.9999999,31,0,0,2300,0,4,0,0,0,0
"0",0.981437411,47,0,0.049419693,2670,7,4,0,0,0,0
"0",0.9999999,32,0,12,5400,0,4,0,0,0,0
"1",1.027420737,42,0,0.213957209,5000,3,4,0,0,1,0
"0",0,40,0,0.348954111,6166,3,4,1,0,0,0
"0",0.323802034,34,0,1.914089347,3200,8,4,2,0,3,0
"1",0.971923977,40,0,0.92037426,5236,10,4,4,0,2,0
"1",1.20829476,45,1,0.153419843,7397,8,4,0,0,1,0
"1",0.755407654,45,0,0.092575449,5400,3,4,0,0,1,0
"1",0.403924978,52,1,2863,5400,10,4,1,0,0,0
"1",1.677857714,51,0,1.058661417,2539,9,4,2,0,0,0
"1",1.097587481,40,0,1135,5400,7,4,0,0,0,0
"1",1.396226415,37,3,3506,5400,10,4,2,0,4,0
"1",0.940211958,46,3,0.265036148,6500,5,4,0,0,1,0
"1",0.155940299,79,4,0.232736573,5473,9,4,2,0,1,0
"1",0.9999999,49,2,0.780982906,4679,6,4,2,0,1,0
"1",1.25748503,45,2,0.570097705,4400,4,4,1,0,3,0
"1",1.45117076,42,1,2449,5400,8,4,2,0,0,0
"1",1.116376663,37,1,0.162893267,3400,5,4,0,0,0,0
"0",0.993355482,50,1,1776,5400,5,3,2,3,0,0
"0",1.08622515,34,1,384,5400,6,3,0,3,0,0
"1",0.9999999,52,1,0.37175,3999,3,3,1,3,0,0
"0",0.9999999,37,0,0.282190132,3323,5,3,1,3,2,0
"1",1.194825559,59,0,0.409217102,1800,3,3,1,3,0,0
"1",0.232825183,48,0,0.572517078,3805,9,3,1,3,0,0
"1",0.948864448,42,0,0.966375252,4460,4,3,2,3,4,0
"1",1.15786776,42,0,0.043935806,3800,6,3,0,3,2,0
"1",0.9999999,34,0,0.473129798,5600,6,3,2,3,5,0
"1",0.9999999,40,0,0.894552724,2000,3,3,1,3,0,0
"0",0.9999999,68,0,1.308752584,1450,8,3,2,3,0,0
"0",0.964561473,35,4,0.305839582,4400,10,3,0,2,2,0
"0",0.948293101,42,4,0.502767363,5600,7,3,1,2,2,0
"1",1.08095952,61,4,1.075732449,1808,8,3,1,2,0,0
"0",0.732163473,46,4,1.021181717,896,7,3,1,2,3,0
"0",0.987788691,45,4,0.176627416,4500,5,3,0,2,4,0
"1",0.894210746,37,4,0.313171707,4000,6,3,0,2,3,0
"1",1.017137961,49,4,0.723868388,5500,6,3,1,2,0,0
"0",0.689085546,50,3,1988,5400,9,3,1,2,0,0
"1",0.9999999,65,3,0.196399045,5442,6,3,0,2,2,0
"1",1.255813953,42,3,0.477626459,3083,6,3,1,2,3,0
"1",1.370848114,34,3,0.634549209,2905,9,3,1,2,2,0
"0",0.992503748,57,3,0.32231734,5022,7,3,1,2,0,0
"1",1.060939061,39,2,0.574440433,6924,6,3,4,2,0,0
"0",0.9999999,35,2,0.075179952,3750,5,3,0,2,1,0
"1",1.180699731,61,2,1235,5400,6,3,1,2,0,0
"0",0.898203593,59,2,0.19897586,6834,6,3,1,2,0,0
"0",1.483033932,32,2,0.025344353,1814,1,3,0,2,0,0
"1",0.9999999,67,2,706,5400,2,3,0,2,0,0
"1",0.841901067,32,2,474,5400,3,3,0,2,3,0
"0",1.165834166,47,2,440,5400,3,3,1,2,0,0
"1",1.192012289,42,2,0.449278268,4987,5,3,2,2,2,0
"1",0.9999999,28,2,892,5400,5,3,0,2,3,0
"1",0.9999999,46,1,0.673163418,2000,5,3,0,2,0,0
"1",0.9999999,30,1,0.109424181,5400,4,3,0,2,0,0
"1",0.024650922,41,1,0.109159585,5294,5,3,0,2,4,0
"1",1.036422067,34,1,0.598782873,4600,6,3,1,2,0,0
"1",0.659767362,50,1,0.073704415,2604,6,3,0,2,4,0
"0",0.190301616,38,1,0.519807479,2700,7,3,1,2,1,0
"1",0.751366484,39,1,0.209477124,3059,3,3,0,2,1,0
"1",0.9999999,64,1,1560,5400,3,3,0,2,0,0
"0",0.9999999,36,1,0.122297898,3376,5,3,0,2,0,0
"0",0.077792264,27,1,0.206042956,2746,3,3,0,2,0,0
"1",1.164261931,56,1,0.141653502,3797,6,3,0,2,1,0
"0",1.634551495,28,0,151,5400,1,3,0,2,0,0
"1",0.9999999,29,0,0.259067358,5210,3,3,0,2,1,0
"0",0.952031979,43,0,0.261692253,2800,5,3,0,2,0,0
"0",0.880133185,32,0,0.301347709,1854,3,3,0,2,0,0
"0",1.980066445,39,0,2036,5400,6,3,1,2,0,0
"1",0.699255225,53,0,1135,5400,10,3,0,2,0,0
"1",0.502171498,59,0,0.495641838,2523,3,3,1,2,1,0
"1",1.043912176,49,0,0.233994036,5700,5,3,0,2,5,0
"1",0.000869187,29,0,0.733422193,3000,5,3,1,2,2,0
"1",1.46506986,37,0,0.219904389,2300,5,3,0,2,2,0
"1",0.774788624,43,0,0.18751179,5300,5,3,0,2,1,0
"0",0.9999999,33,0,0,4600,2,3,0,2,1,0
"1",2.083832335,51,0,0.10991545,1300,2,3,0,2,1,0
"1",0,27,0,0.125,1935,2,3,0,2,1,0
"1",0.9999999,64,0,967,5400,7,3,0,2,0,0
"1",1.023433078,46,0,0.18219523,6750,8,3,0,2,1,0
"1",0.831460674,30,4,0.160946351,3000,9,3,0,1,0,0
"1",0.893421316,73,4,0.686796699,2665,8,3,0,1,1,0
"0",0.793877865,52,3,0.521982061,6800,6,3,1,1,2,0
"0",1.265759511,53,3,960,5400,7,3,0,1,0,0
"0",1.671105193,52,3,0.513250883,4527,8,3,2,1,4,0
"1",0.756044356,45,3,0.894323456,2800,7,3,1,1,2,0
"1",0.978206203,54,3,0.592592593,3833,10,3,2,1,0,0
"1",1.358641359,36,3,0.274750081,3100,5,3,0,1,2,0
"1",1.191616766,62,3,0.182461987,4800,6,3,0,1,0,0
"1",1.459459459,46,3,0.021771548,3352,3,3,0,1,2,0
"0",1.035171863,40,3,0.651304831,1800,6,3,0,1,3,0
"1",0.9999999,37,3,0.255739455,1872,0,3,0,1,2,0
"1",0.290059264,47,3,0.627312479,2972,8,3,1,1,3,0
"1",1.195500469,57,3,0.576529398,4200,6,3,2,1,3,0
"1",0.9999999,44,3,2826,5400,8,3,1,1,0,0
"1",0.966777409,40,2,0.90261115,2833,5,3,1,1,2,0
"1",0.976047904,50,2,0.130284609,7237,3,3,1,1,1,0
"0",0.9999999,53,2,0.653068221,5833,8,3,2,1,0,0
"1",1.086529722,36,2,0.277455188,3960,7,3,0,1,2,0
"0",0.344663834,58,2,0.56177529,2500,7,3,1,1,2,0
"1",1.76247505,35,2,2323,5400,3,3,1,1,0,0
"1",0.682417083,40,2,0.212115347,5166,2,3,0,1,1,0
"1",0.491694352,56,2,889,5400,5,3,0,1,0,0
"0",0.871016692,88,2,1.526031624,2592,10,3,0,1,0,0
"1",0.9999999,35,2,0.637526157,4300,5,3,1,1,1,0
"1",1.194023292,49,2,0.473293345,3500,3,3,1,1,3,0
"1",0.680995119,54,2,3450,5400,10,3,1,1,0,0
"1",0,48,2,0.49770046,5000,4,3,2,1,0,0
"0",0.328354554,40,2,0.488727858,3725,7,3,1,1,2,0
"1",0.916900968,48,2,0.524455552,2800,5,3,1,1,2,0
"0",0.543840178,50,2,0.497894737,6649,8,3,2,1,2,0
"0",0.652463382,32,2,0.34965035,1000,9,3,0,1,2,0
"0",0.9999999,31,2,0.531727652,4317,4,3,1,1,3,0
"1",1.115512773,25,2,0.426594927,1300,5,3,0,1,0,0
"1",0,60,2,1.043297252,1200,7,3,0,1,0,0
"1",0.779247363,53,2,0.604980192,5300,4,3,1,1,0,0
"1",1.260923845,47,2,3512,5400,5,3,2,1,0,0
"1",0.978695073,27,2,0.3885,1999,5,3,0,1,0,0
"0",0,42,2,0.008061561,2728,4,3,0,1,1,0
"1",1.001142776,53,2,1.270486342,1500,5,3,2,1,2,0
"1",0.9999999,59,2,0.055234087,1900,2,3,0,1,0,0
"1",0.862134993,56,2,1.011595362,2500,8,3,1,1,2,0
"1",0.9999999,31,2,0.167078502,5260,5,3,0,1,2,0
"1",1.272425249,41,2,0.451516161,3000,6,3,1,1,0,0
"1",1.180995475,51,2,571,5400,5,3,0,1,0,0
"1",1.572459745,31,2,518,5400,8,3,0,1,0,0
"1",0.899279518,34,2,1.357142857,1399,4,3,1,1,0,0
"0",0.9999999,42,1,0.113421853,6250,3,3,0,1,2,0
"1",0.339503567,89,1,0.549380248,2500,9,3,0,1,0,0
"1",1.362141746,73,1,274,5400,2,3,0,1,0,0
"1",0.9999999,37,1,435,5400,1,3,0,1,0,0
"0",0.71641791,24,1,0.024520857,3547,2,3,0,1,1,0
"1",0.9999999,45,1,0.095800988,5667,3,3,0,1,2,0
"1",0.9999999,42,1,1701,5400,3,3,1,1,0,0
"1",0.9999999,35,1,0.123831022,3100,1,3,0,1,2,0
"1",0.9999999,34,1,0.241610738,4916,1,3,0,1,0,0
"1",1.081836327,35,1,0.064733817,4000,2,3,0,1,2,0
"0",0.9999999,48,1,0.203686348,3200,2,3,0,1,3,0
"0",0.9999999,50,1,0.171681416,3389,2,3,1,1,0,0
"0",0.9999999,45,1,0.225216065,5900,2,3,0,1,1,0
"1",1.44795539,27,1,954,5400,4,3,0,1,0,0
"0",0.011129975,59,1,0.095659876,6773,3,3,0,1,1,0
"0",1.037380469,57,1,0.048780488,2500,6,3,0,1,1,0
"1",0.953967923,32,1,0.091396477,3916,7,3,0,1,0,0
"0",1.266121708,58,1,0.038653782,3000,4,3,0,1,0,0
"1",0.9999999,33,1,0.638233054,2625,2,3,1,1,1,0
"1",0.9999999,45,1,1339,5400,3,3,2,1,0,0
"0",0.95442585,52,1,0.494040524,3355,9,3,1,1,3,0
"0",0.9999999,41,1,0.494501833,3000,3,3,1,1,1,0
"0",0.9999999,40,1,0.280513919,1400,2,3,0,1,4,0
"1",0.9999999,32,1,0.151890034,2909,5,3,0,1,1,0
"0",0.9999999,56,1,0.071418369,7000,3,3,0,1,0,0
"1",1.200799201,26,1,504,5400,3,3,0,1,0,0
"0",1.219560878,25,1,0.26982012,1500,3,3,0,1,2,0
"0",0.9999999,39,1,26,5400,5,3,0,1,0,0
"0",1.920159681,32,1,0.247766636,5484,4,3,0,1,0,0
"1",0.9999999,64,1,1879,5400,4,3,1,1,2,0
"1",0.9999999,28,1,0.155201627,2950,3,3,0,1,0,0
"1",0.9999999,41,1,0.133297787,3750,2,3,0,1,0,0
"1",0.815551112,49,1,4081,5400,5,3,2,1,0,0
"1",1.136863137,33,1,0.107204412,2900,2,3,0,1,0,0
"1",0.9999999,39,1,0.353851964,5295,5,3,2,1,3,0
"1",0.9999999,34,1,0.118299445,5409,2,3,0,1,0,0
"0",0.9999999,42,1,0.548405631,3480,4,3,1,1,2,0
"1",1.129959388,39,1,0.226133001,6420,7,3,0,1,0,0
"0",0.738946093,38,1,0.098696978,3606,6,3,0,1,1,0
"1",1.34620506,74,1,0.124943208,2200,5,3,0,1,0,0
"0",0.543794827,47,1,1460,5400,3,3,1,1,0,0
"0",0.817454649,37,1,0.048002076,3853,1,3,0,1,1,0
