Num_Reg;Item_Identifier;Time;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales;Country
639104;DRJ59;;11.65;low fat;0.019356132;Hard Drinks;391.164;OUT013;1987;High;Tier 3;Supermarket Type1;3.089.312;EEUU
23221;FDE51;;5.925;Regular;0.161466534;DAIRY;455.086;OUT010;1998;;Tier 3;Grocery Store;1.784.344;EEUU
68633;FDC14;;;Regular;0.072221801;Canned;436.454;OUT019;1985;Small;Tier 1;Grocery Store;1.258.362;EEUU
810917;FDV38;;19.25;Low Fat;0.170348551;Dairy;557.956;OUT010;1998;;Tier 3;Grocery Store;1.637.868;EEUU
102273;NCS17;;18.6;Low Fat;0.080829372;Health and Hygiene;964.436;OUT018;2009;Medium;Tier 3;Supermarket Type2;27.417.644;EEUU
109164;FDP33;;18.7;Low Fat;0; Snack Foods;2.566.672;OUT018;2009;Medium;Tier 3;Supermarket Type2;30.680.064;EEUU
55844;FDO23;;17.85;Low Fat;0;Breads;931.436;OUT045;2002;;Tier 2;Supermarket Type1;21.745.028;EEUU
69166;DRH01;;17.5;Low Fat;0.097904029;Soft Drinks;1.748.738;OUT046;1997;Small;Tier 1;Supermarket Type1;20.852.856;EEUU
810587;NCX29;;10;Low Fat;0.089291137;Health and Hygiene;1.467.102;OUT049;1999;Medium;Tier 1;Supermarket Type1;37.910.652;EEUU
65912;FDV20;;;Regular;0.059511812;Fruits and Vegetables;1.280.678;OUT027;1985;Medium;Tier 3;Supermarket Type3;27.976.916;EEUU
1010112;DRZ11;;8.85;Regular;0.113123893;Soft Drinks;1.225.388;OUT018;2009;Medium;Tier 3;Supermarket Type2;16.099.044;EEUU
32799;FDX10;;;Regular;0.123111453;Snack Foods;369.874;OUT027;1985;Medium;Tier 3;Supermarket Type3;3.881.614;EEUU
564103;FDB34;;;Low Fat;0.026480954;Snack Foods;876.198;OUT027;1985;Medium;Tier 3;Supermarket Type3;2.180.495;EEUU
21341;FDU02;;13.35;Low Fat;0.102511504;Dairy;2.306.352;OUT046;1997;Small;Tier 1;Supermarket Type1;3.435.528;EEUU
1010851;FDK43;;9.8;Low Fat;0.02681843;Meat;126.002;OUT013;1987;High;Tier 3;Supermarket Type1;2.150.534;EEUU
981019;FDA46;2;13.6;Low Fat;0.117818348;Snack Foods;1.929.136;OUT049;1999;Medium;Tier 1;Supermarket Type1;25.273.768;EEUU
16712;FDC02;;21.35;Low Fat;0.069102831;Canned;2.599.278;OUT018;2009;Medium;Tier 3;Supermarket Type2;67.685.228;EEUU
481064;FDL50;;12.15;Regular;0.042277867;Canned;1.265.046;OUT013;1987;High;Tier 3;Supermarket Type1;3.735.138;EEUU
79335;FDM39;;6.42;LF;0.089498926;Dairy;1.781.002;OUT010;1998;;Tier 3;Grocery Store;3.582.004;EEUU
3910102;NCP05;;19.6;Low Fat;0;Health and Hygiene;1.533.024;OUT045;2002;;Tier 2;Supermarket Type1;24.288.384;EEUU
210535;FDV49;12;10;Low Fat;0.025879577;Canned;2.652.226;OUT045;2002;;Tier 2;Supermarket Type1;58.150.972;EEUU
571073;FDL12;;15.85;Regular;0.121632721;Baking Goods;60.622;OUT046;1997;Small;Tier 1;Supermarket Type1;2.576.646;EEUU
11313;FDS02;;;Regular;0.255394896;Dairy;1.968.794;OUT019;1985;Small;Tier 1;Grocery Store;7.803.176;EEUU
26162;NCL17;;7.39;Low Fat;0.067779712;Health and Hygiene;1.438.812;OUT046;1997;Small;Tier 1;Supermarket Type1;31.345.864;EEUU
55391;FDM40;;10.195;Low Fat;0.159803853;Frozen Foods;1.415.154;OUT013;1987;High;Tier 3;Supermarket Type1;8.508.924;EEUU
735109;FDR13;;9.895;Regular;0.028696932;Canned;1.170.492;OUT013;1987;High;Tier 3;Supermarket Type1;8.109.444;EEUU
46585;FDA43;;10.895;Low Fat;0.065041581;Fruits and Vegetables;1.963.794;OUT017;2007;;Tier 2;Supermarket Type1;31.212.704;EEUU
171101;NCP18;;12.15;Low Fat;0.028760013;Household;1.514.708;OUT017;2007;;Tier 2;Supermarket Type1;48.150.656;EEUU
85457;FDK21;;7.905;Low Fat;0.010053105;Snack Foods;2.490.408;OUT018;2009;Medium;Tier 3;Supermarket Type2;6258.52;EEUU
161093;NCX54;;9.195;Low Fat;0.048157338;Household;1.061.622;OUT045;2002;;Tier 2;Supermarket Type1;2.117.244;EEUU
94494;DRK35;;8.365;Low Fat;0.071958197;Hard Drinks;380.506;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.969.626;EEUU
10101014;FDY21;;15.1;Low Fat;0.173481304;Snack Foods;194.511;OUT046;1997;Small;Tier 1;Supermarket Type1;4.910.275;EEUU
32944;FDI26;;;Low Fat;0.061082177;Canned;1.800.344;OUT019;1985;Small;Tier 1;Grocery Store;892.172;EEUU
37259;FDM20;;10;Low Fat;0;Fruits and Vegetables;2.469.144;OUT018;2009;Medium;Tier 3;Supermarket Type2;31.851.872;EEUU
1092310;FDV27;;7.97;Regular;0.040071131;Meat;873.514;OUT045;2002;;Tier 2;Supermarket Type1;10.626.168;EEUU
58346;FDF09;;;Low Fat;0.012090074;Fruits and Vegetables;382.848;OUT027;1985;Medium;Tier 3;Supermarket Type3;4.847.024;EEUU
2410410;FDY40;;;Regular;0.15028599;Frozen Foods;510.692;OUT019;1985;Small;Tier 1;Grocery Store;1.478.076;EEUU
71831;FDY45;;;Low Fat;0.026015519;Snack Foods;2.558.356;OUT027;1985;Medium;Tier 3;Supermarket Type3;2.543.356;EEUU
710273;FDC46;;17.7;LF;0.195068226;Snack Foods;1.854.266;OUT010;1998;;Tier 3;Grocery Store;1.844.266;EEUU
263110;FDH19;;19.35;Low Fat;0.033082215;Meat;1.725.738;OUT035;2004;Small;Tier 2;Supermarket Type1;48.656.664;EEUU
49527;FDZ03;;13.65;Regular;0.078946455;Dairy;186.024;OUT045;2002;;Tier 2;Supermarket Type1;1.118.544;EEUU
43461;DRH37;;17.6;Low Fat;0.041700756;Soft Drinks;1.648.526;OUT045;2002;;Tier 2;Supermarket Type1;23.023.364;EEUU
1051083;NCI17;;8.645;Low Fat;0.143422643;Health and Hygiene;95.841;OUT046;1997;Small;Tier 1;Supermarket Type1;2.027.361;EEUU
12689;FDJ58;9;15.6;Regular;0.105296072;Snack Foods;1.701.764;OUT046;1997;Small;Tier 1;Supermarket Type1;3.435.528;EEUU
355105;FDL12;;15.85;Regular;0.121531501;Baking Goods;59.222;OUT013;1987;High;Tier 3;Supermarket Type1;599.22;EEUU
63824;FDH35;;18.25;Low Fat;0;Starchy Foods;1.647.526;OUT045;2002;;Tier 2;Supermarket Type1;46.046.728;EEUU
761048;FDG02;;7.855;Low Fat;0.011324862;Canned;1.896.188;OUT017;2007;;Tier 2;Supermarket Type1;22.850.256;EEUU
85361;NCZ18;;7.825;low fat;0.186357148;Household;2.543.698;OUT049;1999;Medium;Tier 1;Supermarket Type1;55.807.356;EEUU
62315;FDC29;;8.39;Regular;0.024205661;Frozen Foods;1.140.176;OUT046;1997;Small;Tier 1;Supermarket Type1;2.290.352;EEUU
24918;FDQ10;;12.85;Low Fat;0.033230816;Snack Foods;1.723.422;OUT049;1999;Medium;Tier 1;Supermarket Type1;12.070.954;EEUU
10106104;FDN48;1;;Low Fat;0.113720344;Baking Goods;899.804;OUT019;1985;Small;Tier 1;Grocery Store;6.431.628;EEUU
52482;FDL04;;19;Low Fat;0.112556507;Frozen Foods;1.049.622;OUT017;2007;;Tier 2;Supermarket Type1;1.587.933;EEUU
215210;FDV25;;5.905;Low Fat;0;Canned;2.225.456;OUT045;2002;;Tier 2;Supermarket Type1;53.050.944;EEUU
42557;FDD58;6;7.76;Low Fat;0.059352241;Snack Foods;101.87;OUT046;1997;Small;Tier 1;Supermarket Type1;1697.79;EEUU
671104;FDN04;;11.8;reg;0.014087057;Frozen Foods;1.803.344;OUT046;1997;Small;Tier 1;Supermarket Type1;14.274.752;EEUU
65298;FDV45;;16.75;low fat;0.045230944;Snack Foods;1.879.556;OUT018;2009;Medium;Tier 3;Supermarket Type2;4693.89;EEUU
12458;NCL18;;;Low Fat;0.293417759;Household;1.946.136;OUT019;1985;Small;Tier 1;Grocery Store;5.832.408;EEUU
1010612;FDR12;;;Regular;0.031382044;Baking Goods;1.713.764;OUT027;1985;Medium;Tier 3;Supermarket Type3;30.919.752;EEUU
738108;FDG20;;15.5;Regular;0.12639886;Fruits and Vegetables;1.770.028;OUT017;2007;;Tier 2;Supermarket Type1;24.794.392;EEUU
25448;FDZ55;6;6.055;Low Fat;0.025403898;Fruits and Vegetables;160.992;OUT035;2004;Small;Tier 2;Supermarket Type1;2.716.464;EEUU
79614;FDQ49;;;Regular;0.039057677;Breakfast;155.963;OUT027;1985;Medium;Tier 3;Supermarket Type3;3.285.723;EEUU
64492;FDN33;3;6.305;Regular;0.123115764;Snack Foods;956.436;OUT046;1997;Small;Tier 1;Supermarket Type1;6.618.052;EEUU
810327;FDN27;;20.85;Low Fat;0.039624006;Meat;1.172.808;OUT049;1999;Medium;Tier 1;Supermarket Type1;15.233.504;EEUU
41143;FDW20;;20.75;Low Fat;0.040421193;Fruits and Vegetables;122.173;OUT010;1998;;Tier 3;Grocery Store;369.519;EEUU
9810107;DRG27;;8.895;Low Fat;0.105274111;Dairy;399.138;OUT049;1999;Medium;Tier 1;Supermarket Type1;6.904.346;EEUU
63284;DRI25;4;19.6;Low Fat;0.033970195;Soft Drinks;551.614;OUT045;2002;;Tier 2;Supermarket Type1;1.381.535;EEUU
1071104;FDA44;;19.7;Low Fat;0.053212652;Fruits and Vegetables;57.893;OUT035;2004;Small;Tier 2;Supermarket Type1;622.523;EEUU
31317;NCR17;5;9.8;Low Fat;0.024378706;Health and Hygiene;1.145.492;OUT035;2004;Small;Tier 2;Supermarket Type1;12.743.412;EEUU
387109;FDU04;;;Low Fat;0.009714595;Frozen Foods;1.200.414;OUT019;1985;Small;Tier 1;Grocery Store;4.873.656;EEUU
224710;FDF41;;12.15;Low Fat;0.131383762;Frozen Foods;246.046;OUT049;1999;Medium;Tier 1;Supermarket Type1;1231.73;EEUU
106756;FDB56;11;8.75;Regular;0.07461309;Fruits and Vegetables;1.874.556;OUT035;2004;Small;Tier 2;Supermarket Type1;3.755.112;EEUU
17978;NCP18;;;Low Fat;0.028459761;Household;1.499.708;OUT027;1985;Medium;Tier 3;Supermarket Type3;43.636.532;EEUU
63558;FDB56;;8.75;Regular;0.074627201;Fruits and Vegetables;1.878.556;OUT046;1997;Small;Tier 1;Supermarket Type1;13.142.892;EEUU
1047107;FDT28;;13.3;Low Fat;0.063695084;Frozen Foods;1.510.708;OUT045;2002;;Tier 2;Supermarket Type1;18.056.496;EEUU
7511010;FDD10;;;Regular;0.045797829;Snack Foods;1.785.344;OUT027;1985;Medium;Tier 3;Supermarket Type3;28.549.504;EEUU
105913;FDW57;;8.31;Regular;0.115857223;Snack Foods;1.791.028;OUT049;1999;Medium;Tier 1;Supermarket Type1;38.962.616;EEUU
48561;DRB48;13;16.75;Regular;0.024832806;Soft Drinks;387.822;OUT013;1987;High;Tier 3;Supermarket Type1;6.677.974;EEUU
33731;FDP09;;19.75;Low Fat;0.034027909;Snack Foods;2.120.902;OUT018;2009;Medium;Tier 3;Supermarket Type2;3.185.853;EEUU
372104;FDH14;23;17.1;Regular;0.0467696;Canned;1.411.838;OUT013;1987;High;Tier 3;Supermarket Type1;22.477.408;EEUU
385108;FDA47;;10.5;Regular;0.116576702;Baking Goods;163.121;OUT013;1987;High;Tier 3;Supermarket Type1;1.794.331;EEUU
8710103;FDG12;;6.635;Regular;0;Baking Goods;1.213.098;OUT045;2002;;Tier 2;Supermarket Type1;25.307.058;EEUU
623310;DRE60;;;low fat;0.278974075;Soft Drinks;225.372;OUT019;1985;Small;Tier 1;Grocery Store;679.116;EEUU
95582;DRK49;;14.15;Low Fat;0.035913805;Soft Drinks;414.138;OUT013;1987;High;Tier 3;Supermarket Type1;812.276;EEUU
22897;FDD03;;13.3;Low Fat;0.079806266;Dairy;232.53;OUT046;1997;Small;Tier 1;Supermarket Type1;699.09;EEUU
211031;FDS52;20;8.89;low fat;0.005505481;Frozen Foods;1.024.016;OUT017;2007;;Tier 2;Supermarket Type1;27.324.432;EEUU
75662;FDW39;6;;Regular;0.064625342;Meat;176.937;OUT019;1985;Small;Tier 1;Grocery Store;176.437;EEUU
710615;FDX34;;;Low Fat;0.071636937;Snack Foods;1.217.098;OUT027;1985;Medium;Tier 3;Supermarket Type3;40.973.332;EEUU
43183;FDV11;;9.1;Regular;0;Breads;1.732.054;OUT045;2002;;Tier 2;Supermarket Type1;31.518.972;EEUU
521051;FDD17;19;7.5;Low Fat;0.032677678;Frozen Foods;2.390.906;OUT049;1999;Medium;Tier 1;Supermarket Type1;5.942.265;EEUU
37196;FDZ16;;16.85;Regular;0.160760054;Frozen Foods;1.924.478;OUT017;2007;;Tier 2;Supermarket Type1;4.843.695;EEUU
33684;FDZ46;;7.485;Low Fat;0.06911065;Snack Foods;1.090.228;OUT035;2004;Small;Tier 2;Supermarket Type1;25.420.244;EEUU
12651;DRA12;;11.6;Low Fat;0.041177505;Soft Drinks;1.403.154;OUT017;2007;;Tier 2;Supermarket Type1;25.526.772;EEUU
710218;FDY58;;11.65;Low Fat;0.040081193;Snack Foods;2.270.694;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.141.847;EEUU
1033106;NCF19;;13;Low Fat;0.035307322;Household;475.034;OUT017;2007;;Tier 2;Supermarket Type1;6.804.476;EEUU
471210;DRJ13;;12.65;LF;0.063017847;Soft Drinks;1.590.578;OUT045;2002;;Tier 2;Supermarket Type1;20.859.514;EEUU
891014;FDB14;;20.25;Regular;0.171938781;Canned;92.512;OUT010;1998;;Tier 3;Grocery Store;186.424;EEUU
118710;FDJ38;;8.6;Regular;0.040197932;Canned;190.153;OUT035;2004;Small;Tier 2;Supermarket Type1;3.036.048;EEUU
410353;FDW11;4;12.6;Low Fat;0.049058014;Breads;627.194;OUT017;2007;;Tier 2;Supermarket Type1;8.668.716;EEUU
510139;FDL40;;17.7;Low Fat;0.01161096;Frozen Foods;95.041;OUT035;2004;Small;Tier 2;Supermarket Type1;868.869;EEUU
971076;DRI49;;14.15;Low Fat;0.183507295;Soft Drinks;824.276;OUT046;1997;Small;Tier 1;Supermarket Type1;11.371.864;EEUU
25582;FDV38;7;19.25;Low Fat;0.102349519;Dairy;527.956;OUT017;2007;;Tier 2;Supermarket Type1;9.281.252;EEUU
37269;DRG23;15;8.88;Low Fat;0.086708987;Hard Drinks;1.517.682;OUT013;1987;High;Tier 3;Supermarket Type1;762.341;EEUU
810148;NCP30;;20.5;Low Fat;0.032835147;Household;402.822;OUT045;2002;;Tier 2;Supermarket Type1;7.070.796;EEUU
110416;FDY25;;;Low Fat;0.033809913;Canned;1.805.976;OUT027;1985;Medium;Tier 3;Supermarket Type3;79.682.944;EEUU
89749;NCH54;0;13.5;Low Fat;0.07266912;Household;160.292;OUT046;1997;Small;Tier 1;Supermarket Type1;1.438.128;EEUU
33495;NCR53;19;;Low Fat;0.144338493;Health and Hygiene;2.244.404;OUT027;1985;Medium;Tier 3;Supermarket Type3;69.762.524;EEUU
106275;FDS52;;8.89;Low Fat;0.009163216;Frozen Foods;1.017.016;OUT010;1998;;Tier 3;Grocery Store;1.012.016;EEUU
39889;FDG02;;7.855;Low Fat;0.011307038;Canned;1.885.188;OUT018;2009;Medium;Tier 3;Supermarket Type2;952.094;EEUU
59517;NCO26;;7.235;Low Fat;0.076855628;Household;1.160.492;OUT046;1997;Small;Tier 1;Supermarket Type1;19.694.364;EEUU
98949;FDH35;;;Low Fat;0.059956876;Starchy Foods;1.654.526;OUT027;1985;Medium;Tier 3;Supermarket Type3;52.624.832;EEUU
34972;FDB51;16;6.92;Low Fat;0.038532062;Dairy;605.852;OUT045;2002;;Tier 2;Supermarket Type1;13.142.892;EEUU
7101043;FDX44;18;9.3;Low Fat;0.043209581;Fruits and Vegetables;908.172;OUT017;2007;;Tier 2;Supermarket Type1;5.353.032;EEUU
95724;NCN07;18;18.5;Low Fat;0.056816465;Others;1.321.284;OUT010;1998;;Tier 3;Grocery Store;2.636.568;EEUU
47793;NCC31;9;8.02;Low Fat;0.019866705;Household;1.545.972;OUT035;2004;Small;Tier 2;Supermarket Type1;14.021.748;EEUU
710793;NCX54;21;9.195;Low Fat;0.048331717;Household;1.051.622;OUT017;2007;;Tier 2;Supermarket Type1;16.937.952;EEUU
57783;NCO55;;12.8;Low Fat;0.091221855;Others;1.055.938;OUT045;2002;;Tier 2;Supermarket Type1;2.143.876;EEUU
892510;NCC30;;16.6;Low Fat;0.027622076;Household;1.776.344;OUT049;1999;Medium;Tier 1;Supermarket Type1;2.676.516;EEUU
1010978;FDI16;;14;Regular;0;Frozen Foods;53.064;OUT035;2004;Small;Tier 2;Supermarket Type1;905.488;EEUU
710236;FDP16;;18.6;Low Fat;0.039355947;Frozen Foods;2.463.802;OUT049;1999;Medium;Tier 1;Supermarket Type1;7.370.406;EEUU
85913;FDB11;;16;Low Fat;0.060836524;Starchy Foods;2.268.404;OUT035;2004;Small;Tier 2;Supermarket Type1;63.011.312;EEUU
93312;NCB06;;17.6;Low Fat;0.082316506;Health and Hygiene;160.692;OUT035;2004;Small;Tier 2;Supermarket Type1;1597.92;EEUU
109633;FDA45;;21.25;Low Fat;0.155350299;Snack Foods;178.237;OUT035;2004;Small;Tier 2;Supermarket Type1;529.311;EEUU
92339;NCO26;;7.235;Low Fat;0.076841095;Household;1.175.492;OUT035;2004;Small;Tier 2;Supermarket Type1;19.694.364;EEUU
86771;DRJ25;;14.6;Low Fat;0.151419185;Soft Drinks;503.692;OUT017;2007;;Tier 2;Supermarket Type1;10.346.532;EEUU
34351;FDR28;;13.85;reg;0.026001976;Frozen Foods;161.521;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.794.331;EEUU
364106;FDI04;;13.65;Regular;0.073209447;Frozen Foods;1.976.426;OUT018;2009;Medium;Tier 3;Supermarket Type2;27.683.964;EEUU
71322;DRK12;;;Low Fat;0.041683481;Soft Drinks;31.29;OUT027;1985;Medium;Tier 3;Supermarket Type3;898.83;EEUU
610175;FDX20;;7.365;Low Fat;0.042560252;Fruits and Vegetables;226.172;OUT046;1997;Small;Tier 1;Supermarket Type1;3.169.208;EEUU
510126;NCI18;;18.35;Low Fat;0.014081156;Household;2.235.746;OUT018;2009;Medium;Tier 3;Supermarket Type2;35.899.936;EEUU
14223;FDB36;;5.465;Regular;0;Baking Goods;1.325.626;OUT018;2009;Medium;Tier 3;Supermarket Type2;2.623.252;EEUU
59998;FDN13;21;18.6;Low Fat;0.152918384;Breakfast;998.358;OUT017;2007;;Tier 2;Supermarket Type1;19.101.802;EEUU
210551;DRD24;;13.85;Low Fat;0.030969274;Soft Drinks;1.409.154;OUT017;2007;;Tier 2;Supermarket Type1;17.017.848;EEUU
96536;FDQ28;;14;Regular;0.060376776;Frozen Foods;1.545.656;OUT013;1987;High;Tier 3;Supermarket Type1;24.714.496;EEUU
27893;FDM22;;14;Regular;0.04192285;Snack Foods;54.764;OUT013;1987;High;Tier 3;Supermarket Type1;1331.6;EEUU
7431010;FDR07;;;Low Fat;0.077367431;Fruits and Vegetables;970.094;OUT027;1985;Medium;Tier 3;Supermarket Type3;18.089.786;EEUU
62598;FDV25;;5.905;Low Fat;0.045838211;Canned;2.225.456;OUT018;2009;Medium;Tier 3;Supermarket Type2;3.315.684;EEUU
53356;DRF49;;7.27;Low Fat;0.071077939;Soft Drinks;1.142.518;OUT046;1997;Small;Tier 1;Supermarket Type1;26.185.914;EEUU
649210;FDW51;20;6.155;Regular;0.094659871;Meat;214.556;OUT046;1997;Small;Tier 1;Supermarket Type1;2.769.728;EEUU
27728;DRL01;;19.5;Regular;0.077608838;Soft Drinks;2.334.958;OUT017;2007;;Tier 2;Supermarket Type1;53.750.034;EEUU
1010432;FDP25;;15.2;Low Fat;0.021327477;Canned;2.168.824;OUT017;2007;;Tier 2;Supermarket Type1;28.389.712;EEUU
101323;FDL50;;12.15;Regular;0.042485444;Canned;1.250.046;OUT018;2009;Medium;Tier 3;Supermarket Type2;17.430.644;EEUU
84943;NCB30;5;;Low Fat;0.025578526;Household;1.988.084;OUT027;1985;Medium;Tier 3;Supermarket Type3;55.554.352;EEUU
42141;FDW11;22;12.6;Low Fat;0.0489808;Breads;619.194;OUT018;2009;Medium;Tier 3;Supermarket Type2;619.194;EEUU
94356;NCM43;;14.5;Low Fat;0.019471688;Others;164.821;OUT035;2004;Small;Tier 2;Supermarket Type1;2.120.573;EEUU
105823;FDK44;;16.6;Low Fat;0.122918852;Fruits and Vegetables;1.730.738;OUT017;2007;;Tier 2;Supermarket Type1;38.230.236;EEUU
44769;FDM15;;11.8;Regular;0.057373797;Meat;1.514.366;OUT013;1987;High;Tier 3;Supermarket Type1;13.602.294;EEUU
81554;FDS31;;13.1;Regular;0.044155597;Fruits and Vegetables;1.788.318;OUT013;1987;High;Tier 3;Supermarket Type1;39.694.996;EEUU
66137;FDI32;20;17.7;Low Fat;0.291865402;Fruits and Vegetables;1.151.834;OUT010;1998;;Tier 3;Grocery Store;3.455.502;EEUU
23698;FDR47;;17.85;LF;0;Breads;1.965.794;OUT010;1998;;Tier 3;Grocery Store;5.852.382;EEUU
81287;FDB35;19;12.3;Regular;0.064750025;Starchy Foods;926.804;OUT045;2002;;Tier 2;Supermarket Type1;10.106.844;EEUU
89632;NCU05;;11.8;Low Fat;0.098312421;Health and Hygiene;814.618;OUT010;1998;;Tier 3;Grocery Store;1.611.236;EEUU
83242;DRY23;;;Regular;0.191013663;Soft Drinks;421.112;OUT019;1985;Small;Tier 1;Grocery Store;426.112;EEUU
16632;FDO24;;11.1;Low Fat;0.176573035;Baking Goods;1.574.604;OUT045;2002;;Tier 2;Supermarket Type1;30.107.476;EEUU
43147;FDQ28;;;Regular;0.060134441;Frozen Foods;1.530.656;OUT027;1985;Medium;Tier 3;Supermarket Type3;60.241.584;EEUU
51112;FDV39;2;11.3;Low Fat;0.007294652;Meat;1.981.426;OUT045;2002;;Tier 2;Supermarket Type1;988.713;EEUU
54123;NCO17;;;Low Fat;0.128478462;Health and Hygiene;117.944;OUT019;1985;Small;Tier 1;Grocery Store;239.688;EEUU
22783;FDU50;;5.75;Regular;0.075107656;Dairy;1.128.176;OUT013;1987;High;Tier 3;Supermarket Type1;13.742.112;EEUU
29396;FDT12;;;Regular;0.049381406;Baking Goods;2.268.062;OUT027;1985;Medium;Tier 3;Supermarket Type3;47.398.302;EEUU
81719;FDK58;;11.35;Regular;0.045165796;Snack Foods;1.000.016;OUT018;2009;Medium;Tier 3;Supermarket Type2;1.012.016;EEUU
2101019;FDO08;;;Regular;0.09415375;Fruits and Vegetables;1.657.526;OUT019;1985;Small;Tier 1;Grocery Store;6.578.104;EEUU
710995;NCW29;;14;Low Fat;0.028907832;Health and Hygiene;130.431;OUT049;1999;Medium;Tier 1;Supermarket Type1;778.986;EEUU
89471;FDE04;;19.75;Regular;0.018059621;Frozen Foods;179.766;OUT045;2002;;Tier 2;Supermarket Type1;2.336.958;EEUU
69629;NCB19;;6.525;Low Fat;0.090436094;Household;850.882;OUT049;1999;Medium;Tier 1;Supermarket Type1;22.330.932;EEUU
42348;FDV15;;10.3;Low Fat;0.146399712;Meat;1.039.648;OUT049;1999;Medium;Tier 1;Supermarket Type1;16.618.368;EEUU
22551;FDL58;;5.78;Regular;0.074264356;Snack Foods;2.647.568;OUT049;1999;Medium;Tier 1;Supermarket Type1;47.458.224;EEUU
